m_reaction,m_gene_reaction_rule,m_metabolites,m_subsystem,m_gene,seq_uniprot,seq_kegg,seq_mapped_pdbs,seq_domains,seq_file,struct_id,struct_is_experimental,struct_percent_seq_cov,struct_pdb,struct_resolution,struct_chemicals,struct_domains,struct_homology_template,struct_file
12PPDRtex,(b0241 or b0929 or b1377 or b2215),12ppd__R_e;12ppd__R_p,"Transport, Outer Membrane Porin",b1377,P77747,ecj:JW1371;eco:b1377,,,P77747.fasta,REP-OMPN_ECOLI,False,1.0,,,,,2ixx,OMPN_ECOLI_model1_clean-X_clean.pdb
12PPDRtex,(b0241 or b0929 or b1377 or b2215),12ppd__R_e;12ppd__R_p,"Transport, Outer Membrane Porin",b0241,P02932,ecj:JW0231;eco:b0241,1PHO,PDP:5FVNAa,P02932.fasta,REP-PHOE_ECOLI,False,1.0,,,,,1pho,PHOE_ECOLI_model1_clean-X_clean.pdb
12PPDRtex,(b0241 or b0929 or b1377 or b2215),12ppd__R_e;12ppd__R_p,"Transport, Outer Membrane Porin",b0929,P02931,ecj:JW0912;eco:b0929,1BT9;1GFM;1GFN;1GFO;1GFP;1GFQ;1HXT;1HXU;1HXX;1MPF;1OPF;2OMF;2ZFG;2ZLD;3FYX;3HW9;3HWB;3K19;3K1B;3O0E;3POQ;3POU;3POX;4D5U;4GCP;4GCQ;4GCS;4JFB;4LSE;4LSF;4LSH;4LSI;5NUO;5NUQ;5NUR,PDP:5FVNAa,P02931.fasta,REP-2zfg,True,0.93646408839779,2zfg,1.59,MG;C8E,PDP:5FVNAa,,2zfg-A_clean.pdb
12PPDRtex,(b0241 or b0929 or b1377 or b2215),12ppd__R_e;12ppd__R_p,"Transport, Outer Membrane Porin",b2215,P06996,ecj:JW2203;eco:b2215,2J1N;2J4U;2ZLE;4A8D,PDP:5FVNAa,P06996.fasta,REP-2j1n,True,0.9427792915531336,2j1n,2.0,CL;MG;D12,PDP:5FVNAa,,2j1n-A_clean.pdb
12PPDStex,(b0241 or b0929 or b1377 or b2215),12ppd__S_e;12ppd__S_p,"Transport, Outer Membrane Porin",b0929,P02931,ecj:JW0912;eco:b0929,1BT9;1GFM;1GFN;1GFO;1GFP;1GFQ;1HXT;1HXU;1HXX;1MPF;1OPF;2OMF;2ZFG;2ZLD;3FYX;3HW9;3HWB;3K19;3K1B;3O0E;3POQ;3POU;3POX;4D5U;4GCP;4GCQ;4GCS;4JFB;4LSE;4LSF;4LSH;4LSI;5NUO;5NUQ;5NUR,PDP:5FVNAa,P02931.fasta,REP-2zfg,True,0.93646408839779,2zfg,1.59,MG;C8E,PDP:5FVNAa,,2zfg-A_clean.pdb
12PPDStex,(b0241 or b0929 or b1377 or b2215),12ppd__S_e;12ppd__S_p,"Transport, Outer Membrane Porin",b2215,P06996,ecj:JW2203;eco:b2215,2J1N;2J4U;2ZLE;4A8D,PDP:5FVNAa,P06996.fasta,REP-2j1n,True,0.9427792915531336,2j1n,2.0,CL;MG;D12,PDP:5FVNAa,,2j1n-A_clean.pdb
12PPDStex,(b0241 or b0929 or b1377 or b2215),12ppd__S_e;12ppd__S_p,"Transport, Outer Membrane Porin",b1377,P77747,ecj:JW1371;eco:b1377,,,P77747.fasta,REP-OMPN_ECOLI,False,1.0,,,,,2ixx,OMPN_ECOLI_model1_clean-X_clean.pdb
12PPDStex,(b0241 or b0929 or b1377 or b2215),12ppd__S_e;12ppd__S_p,"Transport, Outer Membrane Porin",b0241,P02932,ecj:JW0231;eco:b0241,1PHO,PDP:5FVNAa,P02932.fasta,REP-PHOE_ECOLI,False,1.0,,,,,1pho,PHOE_ECOLI_model1_clean-X_clean.pdb
13PPDH2,b3011,3hppnl_c;nadp_c;nadph_c;13ppd_c;h_c,Alternate Carbon Metabolism,b3011,Q46856,ecj:JW2978;eco:b3011,1OJ7;4QGS,PDP:4QGSAa;PDP:4QGSAb;PDP:4QGSAc,Q46856.fasta,REP-4qgs,True,0.979328165374677,4qgs,1.7,CL;ZN,PDP:4QGSAa;PDP:4QGSAb;PDP:4QGSAc,,4qgs-A_clean.pdb
14GLUCANabcpp,(b4032 and b4034 and b4035 and b4033),14glucan_p;h2o_c;atp_c;14glucan_c;h_c;adp_c;pi_c,"Transport, Inner Membrane",b4032,P68183,ecj:JW3992;eco:b4032,2R6G;3FH6;3PUV;3PUW;3PUX;3PUY;3PUZ;3PV0;3RLF;4JBW;4KI0,PDP:3RLFGa;PDP:3RLFGb,P68183.fasta,REP-3rlf,True,0.9662162162162162,3rlf,2.2,MAL;UMQ;MG;PGV;ANP,PDP:3RLFGa;PDP:3RLFGb;PDP:3RLFFa;PDP:3RLFFb;PDP:3RLFFc;PDP:3Q27Aa;PDP:3Q27Ab;d1oxxk1;d1oxxk2,,3rlf-G_clean.pdb
