,fatcat_domain,u_uniprot_acc,pdb
0,d1hqsa_,P08200,1AI2
1,d1hqsa_,P08200,1AI3
2,d1hqsa_,P08200,1BL5
3,d1hqsa_,P08200,1CW1
4,d1hqsa_,P08200,1CW4
5,d1hqsa_,P08200,1CW7
6,d1hqsa_,P08200,1GRO
7,d1hqsa_,P08200,1GRP
8,d1hqsa_,P08200,1HJ6
9,d1hqsa_,P08200,1IDC
10,d1hqsa_,P08200,1IDD
11,d1hqsa_,P08200,1IDE
12,d1hqsa_,P08200,1IDF
13,d1hqsa_,P08200,1IKA
14,d1hqsa_,P08200,1ISO
15,d1hqsa_,P08200,1P8F
16,d1hqsa_,P08200,1PB1
17,d1hqsa_,P08200,1PB3
18,d1hqsa_,P08200,1SJS
19,d1hqsa_,P08200,3ICD
20,d1hqsa_,P08200,3LCB
22,d1hqsa_,P08200,4AJ3
23,d1hqsa_,P08200,4AJA
24,d1hqsa_,P08200,4AJB
25,d1hqsa_,P08200,4AJC
26,d1hqsa_,P08200,4AJR
27,d1hqsa_,P08200,4AJS
28,d1hqsa_,P08200,4BNP
29,d1hqsa_,P08200,4ICD
30,d1hqsa_,P08200,4P69
32,d1hqsa_,P08200,5ICD
33,d1hqsa_,P08200,6ICD
34,d1hqsa_,P08200,7ICD
35,d1hqsa_,P08200,8ICD
36,d1hqsa_,P08200,9ICD
37,PDP:4QGSAa,Q46856,1OJ7
38,PDP:4QGSAb,Q46856,1OJ7
39,PDP:4QGSAc,Q46856,1OJ7
49,PDP:4QGSAa,Q46856,4QGS
50,PDP:4QGSAb,Q46856,4QGS
51,PDP:4QGSAc,Q46856,4QGS
52,PDP:4PTNAa,P75682,2V8Z
56,PDP:4PTNAa,P75682,2V9D
60,PDP:3N2XAa,P75682,3N2X
64,PDP:3N2XAa,P75682,3NEV
68,PDP:4PTNAa,P75682,4OE7
72,PDP:4PTNAa,P75682,4ONV
76,PDP:4PTNAa,P75682,4PTN
80,PDP:3N2XAa,P75682,4U4M
84,d1te2a_,P77247,1TE2
86,PDP:4MF5Aa,P77526,3GX0
87,PDP:4MF5Ab,P77526,3GX0
88,PDP:4MF5Aa,P77526,5HFK
89,PDP:4MF5Ab,P77526,5HFK
92,PDP:3C8EAa,Q46845,3C8E
93,PDP:3C8EAb,Q46845,3C8E
96,d1vh5a_,P0A8Y8,1VH9
98,d1vh5a_,P0A8Y8,4K4C
102,d1vh5a_,P0A8Y8,4K4D
104,PDP:2K1GAa,P0AFV4,2K1G
105,PDP:4ED9Aa,P76518,4HL6
106,PDP:4ED9Ab,P76518,4HL6
107,PDP:4ED9Ac,P76518,4HL6
123,PDP:4BOLAa,P75820,2BH7
124,PDP:4BOLAa,P75820,2WKX
125,PDP:4BOLAa,P75820,3D2Y
126,PDP:4BOLAa,P75820,3D2Z
127,PDP:3NX4Aa,P26646,1O89
128,PDP:3NX4Ab,P26646,1O89
129,PDP:3NX4Aa,P26646,1O8C
130,PDP:3NX4Ab,P26646,1O8C
137,PDP:4XB6Ca,P16687,4XB6
138,PDP:4XB6Cb,P16687,4XB6
141,PDP:4XB6Ba,P16686,2FSU
142,PDP:4XB6Ba,P16686,4XB6
144,PDP:4XB6Aa,P16685,4XB6
146,PDP:4KIEAa,P21514,4KIE
147,PDP:4KIEAa,P21514,4LJ3
149,PDP:4KIEAa,P21514,4LYK
153,PDP:3K1SAa,P69791,1WCR
156,PDP:3K1SAa,P69791,2LRK
159,PDP:3K1SAa,P69791,2LRL
162,PDP:3K1SAa,P69791,2WWV
165,PDP:3K1SAa,P69791,2WY2
168,d1iiba_,P69795,1E2B
169,d1iiba_,P69795,1H9C
170,d1iiba_,P69795,1IIB
172,d1iiba_,P69795,2WWV
173,d1iiba_,P69795,2WY2
174,PDP:2I68Aa,P23895,2I68
175,PDP:2I68Ab,P23895,2I68
178,PDP:3B5DAa,P23895,3B5D
180,PDP:3B5DAa,P23895,3B61
188,PDP:3B5DAa,P23895,3B62
192,d1zk4a1,P0AET8,1AHH
194,d1zk4a1,P0AET8,1AHI
196,d1zk4a1,P0AET8,1FMC
198,PDP:5IXMAa,P31554,4RHB
200,PDP:4Q35Ba,P0ADC1,4NHR
201,PDP:4Q35Ba,P0ADC1,4RH8
205,PDP:4Q35Ba,P0ADC1,4RHB
207,PDP:4XB6Da,P16688,4XB6
209,PDP:5AJIAa,P0C0S1,2OAU
210,PDP:5AJIAb,P0C0S1,2OAU
211,PDP:5AJIAc,P0C0S1,2OAU
230,PDP:5AJIAa,P0C0S1,2VV5
231,PDP:5AJIAb,P0C0S1,2VV5
232,PDP:5AJIAc,P0C0S1,2VV5
251,PDP:3UDCAa,P0C0S1,3UDC
252,PDP:3UDCAb,P0C0S1,3UDC
253,PDP:3UDCAc,P0C0S1,3UDC
